cluster,depth,startdate,type,sequence,seqdep,phase
11,675.4,2002-08-19,E,E11,E11DD,1
11,677.4,2002-08-19,E,E11,E11DD,1
7,9.0,2002-08-20,E,E7,E7,1
11,,2002-08-22,V,V11,V11,1
7,42.6,2002-08-24,E,E7,E7,1
13,10.0,2002-09-01,E,E13,E13,2
9,5.0,2002-09-06,E,E9,E9,3
11,209.9,2002-09-07,E,E11,E11D,3
11,618.8,2002-09-08,E,E11,E11DD,0
6,13.0,2002-09-08,E,E6,E6,0
10,21.0,2002-09-13,E,E10,E10,0
7,586.3,2002-09-15,E,E7,E7DD,0
6,10.0,2002-09-16,E,E6,E6,1
6,10.0,2002-09-17,E,E6,E6,1
6,10.0,2002-09-20,E,E6,E6,1
6,10.0,2002-09-20,E,E6,E6,1
11,19.0,2002-09-24,E,E11,E11,2
11,10.0,2002-09-24,E,E11,E11,2
11,10.0,2002-09-24,E,E11,E11,2
3,119.6,2002-09-24,E,E3,E3D,2
5,,2002-09-24,V,V5,V5,2
6,,2002-09-25,V,V6,V6,2
0,10.0,2002-10-03,E,E0,E0,3
6,315.8,2002-10-03,E,E6,E6DD,3
11,621.1,2002-10-04,E,E11,E11DD,3
6,10.0,2002-10-06,E,E6,E6,3
11,,2002-10-06,V,V11,V11,3
2,10.0,2002-10-08,E,E2,E2,0
6,10.0,2002-10-10,E,E6,E6,0
6,10.0,2002-10-10,E,E6,E6,0
6,10.0,2002-10-10,E,E6,E6,0
6,10.0,2002-10-10,E,E6,E6,0
14,,2002-10-11,V,V14,V14,0
8,,2002-10-11,V,V8,V8,0
14,534.3,2002-10-12,E,E14,E14DD,0
8,33.0,2002-10-12,E,E8,E8,0
6,,2002-10-12,V,V6,V6,0
11,10.0,2002-10-13,E,E11,E11,0
3,,2002-10-13,V,V3,V3,0
7,61.4,2002-10-14,E,E7,E7,0
11,33.0,2002-10-16,E,E11,E11,1
7,102.4,2002-10-16,E,E7,E7D,1
11,627.6,2002-10-17,E,E11,E11DD,1
6,33.0,2002-10-17,E,E6,E6,1
14,,2002-10-17,V,V14,V14,1
4,10.0,2002-10-18,E,E4,E4,1
6,33.0,2002-10-19,E,E6,E6,1
7,33.0,2002-10-19,E,E7,E7,1
11,549.0,2002-10-22,E,E11,E11DD,1
5,4.2,2002-10-23,E,E5,E5,2
9,11.0,2002-10-24,E,E9,E9,2
3,,2002-10-26,V,V3,V3,2
9,,2002-10-26,V,V9,V9,2
11,10.0,2002-10-31,E,E11,E11,3
11,,2002-10-31,V,V11,V11,3
11,,2002-11-01,V,V11,V11,3
10,27.0,2002-11-02,E,E10,E10,3
10,30.0,2002-11-02,E,E10,E10,3
5,4.2,2002-11-03,E,E5,E5,3
7,39.0,2002-11-03,E,E7,E7,3
14,,2002-11-03,V,V14,V14,3
5,33.0,2002-11-07,E,E5,E5,0
14,33.0,2002-11-09,E,E14,E14,0
10,,2002-11-11,V,V10,V10,0
3,120.0,2002-11-12,E,E3,E3D,0
3,10.0,2002-11-15,E,E3,E3,1
2,,2002-11-16,V,V2,V2,1
7,459.1,2002-11-17,E,E7,E7DD,1
13,33.0,2002-11-20,E,E13,E13,1
7,,2002-11-24,V,V7,V7,2
5,20.6,2002-11-26,E,E5,E5,2
6,,2002-11-28,V,V6,V6,2
11,530.6,2002-12-10,E,E11,E11DD,0
4,10.0,2002-12-10,E,E4,E4,0
6,10.0,2002-12-11,E,E6,E6,0
11,34.0,2002-12-12,E,E11,E11,0
3,10.0,2002-12-17,E,E3,E3,1
3,10.0,2002-12-18,E,E3,E3,1
11,33.0,2002-12-20,E,E11,E11,1
14,33.0,2002-12-23,E,E14,E14,2
6,,2002-12-23,V,V6,V6,2
7,,2002-12-25,V,V7,V7,2
6,10.0,2002-12-30,E,E6,E6,3
1,,2003-01-01,V,V1,V1,3
11,378.0,2003-01-04,E,E11,E11DD,0
8,10.0,2003-01-06,E,E8,E8,0
11,10.0,2003-01-09,E,E11,E11,0
11,71.9,2003-01-10,E,E11,E11D,0
5,10.0,2003-01-16,E,E5,E5,1
11,33.0,2003-01-20,E,E11,E11,2
14,24.0,2003-01-21,E,E14,E14,2
0,24.0,2003-01-22,E,E0,E0,2
2,10.0,2003-01-27,E,E2,E2,3
9,10.0,2003-01-27,E,E9,E9,3
8,,2003-02-01,V,V8,V8,3
7,,2003-02-06,V,V7,V7,0
11,33.0,2003-02-10,E,E11,E11,1
11,10.0,2003-02-12,E,E11,E11,1
6,10.0,2003-02-15,E,E6,E6,1
5,19.0,2003-02-19,E,E5,E5,2
13,11.0,2003-02-24,E,E13,E13,2
6,28.1,2003-03-01,E,E6,E6,3
3,10.0,2003-03-02,E,E3,E3,3
6,,2003-03-07,V,V6,V6,0
9,,2003-03-08,V,V9,V9,0
6,45.9,2003-03-09,E,E6,E6,0
6,93.8,2003-03-10,E,E6,E6D,0
11,40.2,2003-03-11,E,E11,E11,0
0,10.0,2003-03-12,E,E0,E0,1
11,274.9,2003-03-14,E,E11,E11D,1
6,33.0,2003-03-14,E,E6,E6,1
7,30.2,2003-03-15,E,E7,E7,1
5,33.0,2003-03-17,E,E5,E5,1
