Year,Value
197203,0.0073
197204,0.0394
197205,0.0179
197206,0.0795
197207,0.0692
197208,0.0927
197209,0.0251
197210,0.0925
197211,0.0796
197212,0.2546
197301,0.2600
197302,0.3754
197303,0.3326
197304,0.2534
197305,0.2174
197306,0.1980
197307,0.1165
197308,0.0799
197309,0.0549
197310,0.0453
197311,0.0238
197312,0.0273
197401,-0.1931
197402,-0.2533
197403,-0.0477
197404,-0.0403
197405,-0.0227
197406,-0.0380
197407,0.0181
197408,0.0130
197409,-0.0413
197410,-0.0787
197411,-0.0668
197412,-0.0960
197501,0.1210
197502,0.0339
197503,0.1114
197504,0.0806
197505,0.0707
197506,0.0360
197507,0.0043
197508,-0.0671
197509,0.0197
197510,-0.1229
197511,-0.1427
197512,-0.0889
197601,-0.0169
197602,-0.1210
197603,-0.2344
197604,-0.0208
197605,-0.1217
197606,-0.0737
197607,-0.0854
197608,-0.0886
197609,-0.0434
197610,-0.1819
197611,-0.0393
197612,0.0917
197701,0.0652
197702,0.2390
197703,0.3113
197704,0.2841
197705,0.2395
197706,0.2469
197707,0.1735
197708,0.1418
197709,0.1868
197710,0.1179
197711,0.2607
197712,0.1130
197801,0.1627
197802,0.1316
197803,0.2250
197804,0.1353
197805,0.0619
197806,0.0525
197807,0.0685
197808,0.0038
197809,0.0740
197810,0.0648
197811,0.2279
197812,0.1528
197901,0.1632
197902,0.0933
197903,0.2459
197904,0.1137
197905,0.1580
197906,0.2178
197907,0.1755
197908,0.2279
197909,0.2526
197910,0.2952
197911,0.2963
197912,0.5051
198001,0.3113
198002,0.3536
198003,0.2430
198004,0.3106
198005,0.3196
198006,0.2483
198007,0.2195
198008,0.1975
198009,0.2040
198010,0.1853
198011,0.3338
198012,0.2714
198101,0.4716
198102,0.3667
198103,0.4136
198104,0.3593
198105,0.2647
198106,0.2867
198107,0.2290
198108,0.2467
198109,0.1903
198110,0.1723
198111,0.2192
198112,0.4249
198201,0.1381
198202,0.1601
198203,0.0872
198204,0.2084
198205,0.1945
198206,0.1266
198207,0.1455
198208,0.1426
198209,0.2379
198210,0.1790
198211,0.1508
198212,0.4386
198301,0.5190
198302,0.4849
198303,0.4289
198304,0.2949
198305,0.2922
198306,0.2659
198307,0.2670
198308,0.3253
198309,0.3202
198310,0.2145
198311,0.4351
198312,0.2772
198401,0.2858
198402,0.1780
198403,0.2755
198404,0.1533
198405,0.2865
198406,0.1315
198407,0.1206
198408,0.1699
198409,0.1448
198410,0.1208
198411,0.0394
198412,-0.0908
198501,0.1818
198502,0.0199
198503,0.1908
198504,0.1517
198505,0.1986
198506,0.1297
198507,0.0785
198508,0.1300
198509,0.1027
198510,0.1317
198511,0.1188
198512,0.2006
198601,0.3264
198602,0.2814
198603,0.2974
198604,0.2635
198605,0.2526
198606,0.2533
198607,0.1691
198608,0.1697
198609,0.1724
198610,0.2069
198611,0.1567
198612,0.2194
198701,0.3133
198702,0.5050
198703,0.2571
198704,0.3036
198705,0.3334
198706,0.3016
198707,0.4204
198708,0.3852
198709,0.4354
198710,0.3364
198711,0.3316
198712,0.5329
198801,0.5510
198802,0.3922
198803,0.4867
198804,0.4451
198805,0.3836
198806,0.3869
198807,0.3427
198808,0.3209
198809,0.3196
198810,0.3011
198811,0.2298
198812,0.3634
198901,0.2174
198902,0.3075
198903,0.3380
198904,0.2919
198905,0.2803
198906,0.2755
198907,0.3034
198908,0.3031
198909,0.3039
198910,0.3056
198911,0.2553
198912,0.4006
199001,0.3655
199002,0.4086
199003,0.7354
199004,0.4938
199005,0.4295
199006,0.4122
199007,0.3453
199008,0.3486
199009,0.3160
199010,0.4284
199011,0.4792
199012,0.4480
199101,0.4533
199102,0.4681
199103,0.3682
199104,0.5176
199105,0.4116
199106,0.4806
199107,0.4432
199108,0.3848
199109,0.3846
199110,0.3296
199111,0.3175
199112,0.3043
199201,0.4719
199202,0.4489
199203,0.4354
199204,0.2923
199205,0.3267
199206,0.2813
199207,0.1348
199208,0.1379
199209,0.0625
199210,0.1150
199211,0.0917
199212,0.2845
199301,0.3857
199302,0.3972
199303,0.4230
199304,0.3171
199305,0.3443
199306,0.2915
199307,0.2330
199308,0.2109
199309,0.1697
199310,0.2428
199311,0.0956
199312,0.3179
199401,0.2914
199402,0.0806
199403,0.3557
199404,0.3585
199405,0.3826
199406,0.3833
199407,0.3123
199408,0.3084
199409,0.3294
199410,0.4274
199411,0.4538
199412,0.4035
199501,0.5508
199502,0.6899
199503,0.4666
199504,0.4098
199505,0.3542
199506,0.4661
199507,0.4272
199508,0.5036
199509,0.3856
199510,0.4381
199511,0.4545
199512,0.3473
199601,0.2638
199602,0.4579
199603,0.3260
199604,0.2738
199605,0.3880
199606,0.3522
199607,0.3230
199608,0.3180
199609,0.2649
199610,0.2272
199611,0.2819
199612,0.3883
199701,0.3767
199702,0.4297
199703,0.4633
199704,0.4531
199705,0.4209
199706,0.5299
199707,0.5078
199708,0.5427
199709,0.6227
199710,0.6441
199711,0.5849
199712,0.6270
199801,0.6038
199802,0.8638
199803,0.6373
199804,0.7322
199805,0.6650
199806,0.6633
199807,0.7322
199808,0.6804
199809,0.5239
