,”long","lat","clust"
"600567",-120.5842,-54.458,4
"600568",-93.8893,14.4238,15
"600569",-67.3953,18.1048,15
"600570",124.5378,3.5305,7
"600571",125.1146,5.0572,7
"600572",-177.4811,-18.2406,5
"600573",-84.4732,2.5812,15
"600574",-178.0665,-32.0427,5
"600575",116.2298,-8.6391,7
"600576",27.6486,-25.4844,3
"600577",21.8397,37.7982,10
"600578",121.0594,19.2114,9
"600579",71.8974,37.2431,14
"600580",-18.8458,-60.5104,4
"600581",-106.8112,-7.0668,1
"600582",131.8089,33.0131,9
"600583",-107.3257,-6.3302,1
"600584",151.4737,46.3391,8
"600585",70.9799,36.626,14
"600586",152.6948,-5.5093,12
"600587",-68.1237,18.9608,15
"600588",-98.0086,36.8682,1
"600589",-25.3204,-58.7019,4
"600590",70.8303,36.6051,14
"600591",-177.2392,-16.5529,5
"600592",-67.0453,-23.902,4
"600593",-179.3083,-17.1463,5
"600594",73.5958,35.6768,14
"600595",129.9804,-7.6587,7
"600596",167.9203,-17.5372,12
"600597",107.9546,53.2622,8
"600598",144.5165,21.0272,2
"600599",-50.3653,-60.6831,4
"600600",-66.897,-23.754,4
"600601",-27.4511,61.3532,10
"600602",173.612,51.9838,13
"600603",-67.4655,-24.2242,4
"600604",-64.167,19.1667,15
"600605",131.757,31.5042,9
"600606",142.3244,29.741,8
"600607",143.3111,11.9011,2
"600608",143.6737,11.6581,2
"600609",93.1842,5.5738,11
"600610",119.973,14.9068,9
"600611",-98.0908,16.2514,1
"600612",158.5454,-9.3385,12
"600613",96.5118,26.4644,9
"600614",46.3591,11.7891,14
"600615",46.3703,11.9371,14
"600616",143.7514,26.9648,2
"600617",46.3159,11.9165,14
"600618",-98.547,15.643,1
"600619",-64.1203,19.0552,15
"600620",-98.57,15.7744,1
"600621",46.1392,12.241,14
"600622",179.7665,-24.7554,5
"600623",145.3038,18.4412,2
"600624",142.5281,29.826,8
"600625",-67.5202,-24.0722,4
"600626",-162.5302,67.3459,6
"600627",179.6256,50.9624,13
"600628",175.04,-40.5,5
"600629",-179.8452,51.5897,13
"600630",46.2295,12.1715,14
"600631",46.2116,12.0873,14
"600632",46.1956,12.1896,14
"600633",124.0586,24.6589,9
"600634",179.7608,-24.9188,5
"600635",72.6095,38.9915,14
"600636",126.246,1.1652,7
"600637",-161.2175,56.1188,6
"600638",126.4125,0.4813,7
"600639",-178.2596,-17.5084,5
"600640",-28.2656,-55.9972,4
"600641",27.4938,-4.8803,10
"600642",-70.232,-33.0941,4
"600643",-139.378,59.261,6
"600644",142.0087,30.8901,8
"600645",26.4432,45.6612,10
"600646",46.2552,11.8697,14
"600647",126.4798,3.2591,7
"600648",-118.6685,37.5333,1
"600649",46.3603,11.9631,14
"600650",-103.372,18.2935,1
"600651",-97.5763,35.7419,1
"600652",153.4011,-4.6416,12
"600653",154.328,-9.5204,12
"600654",114.0318,-9.0071,11
"600655",-26.9652,-55.5427,4
"600656",139.4004,33.2099,8
"600657",127.1927,11.233,7
"600658",58.0211,-34.0499,3
"600659",46.23,12.0329,14
"600660",46.2308,12.0653,14
"600661",-67.0437,-24.1566,4
"600662",73.738,34.3654,14
"600663",78.1263,37.4521,14
"600664",-160.781,54.447,6
"600665",121.1237,-8.3034,7
"600666",-97.6798,34.9775,1
"600667",-68.4384,-21.7334,4
"600668",128.6056,-7.4415,7
"600669",127.7465,0.6634,7
"600670",-64.9232,19.0652,15
"600671",-97.4461,35.8174,1
"600672",-177.0806,-16.7596,5
"600673",143.0321,11.8042,2
"600674",-27.2508,-55.5109,4
"600675",77.8219,37.7525,14
"600676",-27.4794,-55.449,4
"600677",154.7473,-7.3883,12
"600678",-92.5995,15.6417,15
"600679",179.3901,-25.0416,5
"600680",141.7755,37.3538,8
"600681",111.301,-11.1143,11
"600682",-177.7643,-19.8816,5
"600683",98.4765,15.1174,11
"600684",70.9958,35.8708,14
"600685",146.235,-6.3789,12
"600686",126.8577,-3.2739,7
"600687",167.4865,-14.5845,12
"600688",144.7328,39.1673,8
"600689",-67.5425,17.0682,15
"600690",24.083,34.6125,10
"600691",131.5201,-3.5626,7
"600692",139.1774,-1.9073,7
"600693",-178.8834,-17.7763,5
"600694",151.8134,-5.3935,12
"600695",70.8415,36.6593,14
"600696",139.1708,-1.3264,7
"600697",-73.011,6.8063,15
"600698",-14.4789,-34.1094,4
"600699",-173.8223,51.6696,13
"600700",144.1473,21.3635,2
"600701",144.1241,21.3479,2
"600702",144.4227,19.7648,2
"600703",126.0491,10.0229,7
"600704",178.566,50.271,13
"600705",139.5475,33.3389,8
"600706",-92.6613,14.5986,15
"600707",139.4413,33.2013,8
"600708",139.5008,33.069,8
