Latitude,Longitude,VEI,cluster,depth,mag,startdate,type,sequence,scale
33.195,96.449,,8,7.6,6.1,2010-04-14,E,E8,
-6.669,147.291,,11,53.0,6.2,2010-04-17,E,E11,
-15.271,-173.219,,11,35.0,6.1,2010-04-21,E,E11,
-37.529,-72.969,,3,32.0,6.0,2010-04-23,E,E3,
-1.912,128.122,,6,27.0,6.0,2010-04-24,E,E6,
22.18,123.623,,8,22.0,6.5,2010-04-26,E,E8,
60.478,-177.65,,5,14.9,6.3,2010-04-30,E,E5,
60.473,-177.877,,5,12.0,6.5,2010-04-30,E,E5,
-38.072,-73.454,,3,19.0,6.3,2010-05-03,E,E3,
29.645,140.951,,7,84.0,6.1,2010-05-03,E,E7,
18.13,145.8,1,1,,,2010-05-03,V,V1,
-4.054,101.096,,10,27.0,6.5,2010-05-05,E,E10,
-18.058,-70.547,,3,37.0,6.2,2010-05-06,E,E3,
3.748,96.018,,10,38.0,7.2,2010-05-09,E,E10,
-5.083,-77.541,,14,132.0,6.0,2010-05-19,E,E14,
-54.843,-135.398,,4,10.0,6.0,2010-05-19,E,E4,
-54.8,-135.252,,4,10.0,6.0,2010-05-19,E,E4,
55.972,160.595,3,7,,,2010-05-21,V,V7,
-13.928,-74.352,,3,101.4,6.1,2010-05-23,E,E3,
-8.087,-71.558,,14,581.2,6.5,2010-05-24,E,E14,
35.336,-35.924,,9,10.0,6.3,2010-05-25,E,E9,
25.773,129.944,,8,10.0,6.5,2010-05-26,E,E8,
-5.05,151.33,2,11,,,2010-05-26,V,V11,
-13.658,166.745,,11,35.0,6.1,2010-05-27,E,E11,
-13.698,166.643,,11,31.0,7.2,2010-05-27,E,E11,
16.58,145.78,3,1,,,2010-05-27,V,V1,
52.825,-169.944,2,5,,,2010-05-30,V,V5,
11.132,93.471,,10,112.0,6.5,2010-05-31,E,E10,
6.948,124.025,,6,20.0,6.0,2010-05-31,E,E6,
9.331,-84.206,,14,18.0,6.0,2010-06-01,E,E14,
52.559,158.03,1,7,,,2010-06-06,V,V7,
-18.597,169.485,,11,12.0,6.0,2010-06-09,E,E11,
12.702,-87.004,2,14,,,2010-06-09,V,V14,
7.881,91.936,,10,35.0,7.5,2010-06-12,E,E10,
-2.174,136.543,,6,18.0,7.0,2010-06-16,E,E6,
-2.386,136.635,,6,13.0,6.2,2010-06-16,E,E6,
-2.329,136.484,,6,10.5,6.6,2010-06-16,E,E6,
-33.168,179.719,,11,170.4,6.0,2010-06-17,E,E11,
44.448,148.689,,7,28.0,6.2,2010-06-18,E,E7,
-5.514,151.161,,11,40.0,6.1,2010-06-24,E,E11,
-10.627,161.447,,11,35.0,6.7,2010-06-26,E,E11,
16.396,-97.782,,0,20.0,6.3,2010-06-30,E,E0,
-23.307,179.116,,11,581.4,6.4,2010-06-30,E,E11,
48.958,153.93,2,7,,,2010-06-30,V,V7,
-13.643,166.485,,11,29.0,6.3,2010-07-02,E,E11,
50.686,156.014,1,7,,,2010-07-02,V,V7,
39.697,142.369,,7,27.0,6.3,2010-07-04,E,E7,
11.143,145.999,,1,13.0,6.3,2010-07-10,E,E1,
